,category,instruction,operand1,operand2,operand3,operand4,operand5,time,type,issue2inst,delay,inflight SMEM,inflight VMEM,inflight FLAT,shader,simd,wave_id,begin_time,end_time,num_mem_instrs,num_issued_instrs,num_valu_instrs,num_valu_stalls,num_vmem_instrs,num_vmem_stalls,num_flat_instrs,num_flat_stalls,num_lds_instrs,num_lds_stalls,num_salu_instrs,num_salu_stalls,num_smem_instrs,num_smem_stalls,num_branch_instrs,num_branch_taken_instrs,num_branch_stalls
74,SALU,s_or_b64,s[12:13],vcc,s[12:13],,,8184,2,4,4,0,0,3,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
75,IMMED,s_waitcnt,vmcnt(0),,,,,8188,9,0,1748,0,0,0,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
76,VALU,v_add_f32_e32,v5,v7,v8,,,9940,6,4,8,0,0,0,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
77,FLAT,global_store_dword,v[3:4],v5,off,,,9952,4,4,0,0,0,1,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
78,SALU,s_andn2_b64,exec,exec,s[12:13],,,9960,2,8,0,0,0,1,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
79,JUMP,s_cbranch_execnz,.LBB0_2,,,,,9964,7,4,16,0,0,1,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
80,VALU,v_mov_b32_e32,v4,s5,,,,9984,6,4,4,0,0,1,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
81,VALU,v_add_co_u32_e64,v5,s[0:1],s4,v1,,9992,6,4,4,0,0,1,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
82,VALU,v_mov_b32_e32,v7,s9,,,,10000,6,4,4,0,0,1,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
83,VALU,v_add_co_u32_e32,v3,vcc,s8,v1,,10008,6,4,8,0,0,1,1,2,0,1300,51252,198,1395,719,0,0,0,192,20,0,0,147,0,6,0,65,2,0
