,category,instruction,operand1,operand2,operand3,operand4,operand5,time,type,issue2inst,delay,inflight SMEM,inflight VMEM,inflight FLAT,shader,simd,wave_id,begin_time,end_time,num_mem_instrs,num_issued_instrs,num_valu_instrs,num_valu_stalls,num_vmem_instrs,num_vmem_stalls,num_flat_instrs,num_flat_stalls,num_lds_instrs,num_lds_stalls,num_salu_instrs,num_salu_stalls,num_smem_instrs,num_smem_stalls,num_branch_instrs,num_branch_taken_instrs,num_branch_stalls
114,LDS,ds_write_b32,v5,v4,,,,9748,5,4,4,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
115,VALU,v_add_u32_e32,v5,s5,v5,,,9752,6,0,12,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
116,LDS,ds_write_b32,v3,v4,,,,9768,5,4,4,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
117,VALU,v_add_u32_e32,v3,s4,v3,,,9772,6,0,4,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
118,SALU,s_cmp_eq_u32,s6,0,,,,9780,2,4,4,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
119,LDS,ds_write_b32,v5,v4,,,,9788,5,4,4,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
120,VALU,v_add_u32_e32,v5,s5,v5,,,9792,6,0,12,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
121,LDS,ds_write_b32,v5,v4,,,,9808,5,4,4,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
122,JUMP,s_cbranch_scc0,.LBB0_1,,,,,9812,7,0,20,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
123,VALU,v_add_u32_e32,v5,s5,v3,,,9832,6,0,16,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
124,LDS,ds_write_b32,v5,v4,,,,9852,5,4,4,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
125,VALU,v_add_u32_e32,v5,s5,v5,,,9856,6,0,12,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
126,LDS,ds_write_b32,v5,v4,,,,9872,5,4,4,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
127,VALU,v_add_u32_e32,v5,s5,v5,,,9876,6,0,12,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
128,LDS,ds_write_b32,v5,v4,,,,9892,5,4,4,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
129,VALU,v_add_u32_e32,v5,s5,v5,,,9896,6,0,12,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
130,LDS,ds_write_b32,v5,v4,,,,9912,5,4,4,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
131,VALU,v_add_u32_e32,v5,s5,v5,,,9916,6,0,4,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
132,SALU,s_add_i32,s6,s6,-8,,,9924,2,4,4,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
133,LDS,ds_write_b32,v5,v4,,,,9932,5,4,4,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
134,VALU,v_add_u32_e32,v5,s5,v5,,,9936,6,0,12,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
135,LDS,ds_write_b32,v3,v4,,,,9952,5,4,4,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
136,VALU,v_add_u32_e32,v3,s4,v3,,,9956,6,0,4,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
137,SALU,s_cmp_eq_u32,s6,0,,,,9964,2,4,4,0,0,0,0,0,0,6096,485564,516,2278,972,0,0,0,130,26,384,0,144,0,2,0,51,6,0
